age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
24.0,-2.01118107,16.57502768,0.080592465,14.52095333,15.343410579674996,16.57502768,18.16219473,19.85985812,16.57502768,1.3358223381744314
24.5,-1.982373595,16.54777487,0.080127429,14.50347667,15.323268867699499,16.54777487,18.11954923,19.79194014,16.54777487,1.3259306560039092
25.5,-1.924100169,16.49442763,0.079233994,14.46882381,15.283567797735484,16.49442763,18.03668013,19.66102345,16.49442763,1.3069193798688543
26.5,-1.86549793,16.44259552,0.078389356,14.43459737,15.244637473252993,16.44259552,17.95700228,19.5365754,16.44259552,1.288924473781285
27.5,-1.807261899,16.3922434,0.077593501,14.40082828,15.206470274917669,16.3922434,17.88047101,19.41848805,16.3922434,1.2719315546501435
28.5,-1.750118905,16.34333654,0.076846462,14.36754718,15.16905788934859,16.34333654,17.80704259,19.30665411,16.34333654,1.2559275903743214
29.5,-1.69481584,16.29584097,0.076148308,14.33478414,15.132391526677246,16.29584097,17.73667414,19.20096691,16.29584097,1.2409007173025788
30.5,-1.642106779,16.24972371,0.075499126,14.30256837,15.096462119898113,16.24972371,17.66932346,19.10132056,16.24972371,1.2268399378464776
31.5,-1.592744414,16.20495268,0.074898994,14.27092833,15.06126055500139,16.20495268,17.6049486,19.00761051,16.20495268,1.213734653549604
32.5,-1.547442391,16.16149871,0.074347997,14.23988971,15.026778153586013,16.16149871,17.54350898,18.91973125,16.16149871,1.2015750576065838
33.5,-1.506902601,16.11933258,0.073846139,14.2094782,14.993006526863331,16.11933258,17.48496295,18.83758072,16.11933258,1.1903504742899085
34.5,-1.471770047,16.07842758,0.07339337,14.17971698,14.959938146392998,16.07842758,17.42926933,18.76105711,16.07842758,1.1800499843971446
35.5,-1.442628957,16.03875896,0.072989551,14.15062715,14.927566495886566,16.03875896,17.37638677,18.69005992,16.03875896,1.170661815087627
36.5,-1.419991255,16.00030401,0.072634432,14.12222757,14.895886311367331,16.00030401,17.32627356,18.62449011,16.00030401,1.1621729935936724
37.5,-1.404277619,15.96304277,0.072327649,14.09453413,14.864893848177166,15.96304277,17.27888795,18.5642493,15.96304277,1.1545693544405475
38.5,-1.39586317,15.92695418,0.07206864,14.06756329,14.834586354322365,15.92695418,17.23418554,18.50924478,15.92695418,1.1478339270949152
39.5,-1.394935252,15.89202582,0.071856805,14.04132288,14.804963909261028,15.89202582,17.19212545,18.45937719,15.89202582,1.1419502004027051
40.5,-1.401671596,15.85824093,0.071691278,14.0158243,14.776027123010614,15.85824093,17.15266201,18.41455697,15.85824093,1.1368975591036083
41.5,-1.416100312,15.82558822,0.071571093,13.99107332,14.747778951529519,15.82558822,17.11575098,18.37469187,15.82558822,1.1326546462733245
42.5,-1.438164899,15.79405728,0.071495113,13.96707439,14.720223783292875,15.79405728,17.08134677,18.33969264,15.79405728,1.1291979099620726
43.5,-1.467669032,15.76364255,0.071462106,13.94382698,14.69336810868792,15.76364255,17.04940504,18.30946785,15.76364255,1.1265030948542103
44.5,-1.504376347,15.73433668,0.071470646,13.9213319,14.667219149742767,15.73433668,17.0198786,18.28393204,15.73433668,1.1245432069010952
45.5,-1.547942838,15.70613566,0.071519218,13.8995866,14.641785686402125,15.70613566,16.99272087,18.26299911,15.70613566,1.1232905402051137
46.5,-1.597896397,15.67904062,0.071606277,13.87858352,14.617078112677458,15.67904062,16.96788739,18.24657949,15.67904062,1.1227177257299716
47.5,-1.653732283,15.65305192,0.071730167,13.85831582,14.593107206665977,15.65305192,16.94533215,18.2345875,15.65305192,1.1227960282812706
48.5,-1.714869347,15.62817269,0.071889214,13.83877404,14.56988446572691,15.62817269,16.92501028,18.22693633,15.62817269,1.1234970509403657
49.5,-1.780673181,15.604408,0.072081737,13.81994711,14.547421822629367,15.604408,16.90687779,18.22353875,15.604408,1.1247928334966961
50.5,-1.850468473,15.58176458,0.072306081,13.80182253,14.525731203193791,15.58176458,16.89089179,18.22430691,15.58176458,1.126656331844411
51.5,-1.923551865,15.56025067,0.072560637,13.78438667,14.504824407054038,15.56025067,16.87701073,18.22915216,15.56025067,1.1290617004948769
52.5,-1.999220429,15.5398746,0.07284384,13.76762605,14.484712638012978,15.5398746,16.86519374,18.23798637,15.5398746,1.131984138982464
53.5,-2.076707178,15.52064993,0.073154324,13.75152248,14.465406941662108,15.52064993,16.85540483,18.25071444,15.52064993,1.1354026536697974
54.5,-2.155348017,15.50258427,0.073490667,13.73606368,14.446916710350646,15.50258427,16.8476049,18.26724918,15.50258427,1.139295258226008
55.5,-2.234438552,15.48568973,0.073851672,13.72123322,14.429250773536078,15.48568973,16.84175987,18.28749643,15.48568973,1.1436440786337285
56.5,-2.313321723,15.46997718,0.074236235,13.70701599,14.412416692069394,15.46997718,16.8378366,18.31136265,15.46997718,1.1484328613791173
57.5,-2.391381273,15.45545692,0.074643374,13.69339739,14.396420723707829,15.45545692,16.83580365,18.33875356,15.45545692,1.153647451220448
58.5,-2.468032491,15.44213961,0.075072264,13.68036242,14.381267889682862,15.44213961,16.83563223,18.36957256,15.44213961,1.159276381526777
59.5,-2.542781541,15.43003207,0.075522104,13.66789962,14.366961739122049,15.43003207,16.83729272,18.40372671,15.43003207,1.1653084867138754
60.5,-2.61516595,15.41914163,0.07599225,13.65599683,14.353504667179976,15.41914163,16.84075838,18.44112021,15.41914163,1.1717352655323674
61.5,-2.684789516,15.40947356,0.076482128,13.64464353,14.340897806177573,15.40947356,16.84600319,18.48165813,15.40947356,1.1785493292285356
62.5,-2.751316949,15.40103139,0.076991232,13.63383056,14.329141166087759,15.40103139,16.85300198,18.52524599,15.40103139,1.1857443807867727
63.5,-2.81445945,15.39381785,0.077519149,13.62354907,14.318233717382029,15.39381785,16.86173124,18.57178832,15.39381785,1.1933156595930094
64.5,-2.87402476,15.38783094,0.07806539,13.61379452,14.30817356561208,15.38783094,16.87216519,18.62119533,15.38783094,1.2012570235851667
65.5,-2.92984048,15.38306945,0.078629592,13.60456106,14.298957982107742,15.38306945,16.88428085,18.67337395,15.38306945,1.2095644745611644
66.5,-2.981796828,15.37952958,0.079211369,13.595845,14.29058360690767,15.37952958,16.89805459,18.72823379,15.37952958,1.218233592607795
67.5,-3.029831343,15.37720582,0.079810334,13.58764387,14.283046511315394,15.37720582,16.91346275,18.78568583,15.37720582,1.227259932480944
68.5,-3.073924224,15.37609107,0.080426086,13.57995642,14.276342354475497,15.37609107,16.93048153,18.84564261,15.37609107,1.2366388227396519
69.5,-3.114093476,15.37617677,0.081058206,13.57278245,14.27046643861082,15.37617677,16.94908693,18.90801826,15.37617677,1.2463653041150746
70.5,-3.15039004,15.37745304,0.081706249,13.56612272,14.265413822535598,15.37745304,16.96925461,18.97272855,15.37745304,1.256434007072047
71.5,-3.182893018,15.37990886,0.082369741,13.55997887,14.261179417169387,15.37990886,16.99095993,19.03969094,15.37990886,1.2668391094018052
72.5,-3.21170511,15.38353217,0.083048178,13.55435329,14.257757990743944,15.38353217,17.01417786,19.10882456,15.38353217,1.2775743179228862
73.5,-3.23694834,15.38831005,0.083741021,13.54924901,14.255144303248425,15.38831005,17.03888299,19.18005024,15.38831005,1.288632795051561
74.5,-3.25876011,15.39422883,0.0844477,13.54466964,14.253333080536098,15.39422883,17.06504953,19.25329044,15.39422883,1.3000072179671909
75.5,-3.277281546,15.40127496,0.085167651,13.54061839,14.252319006083368,15.40127496,17.09265223,19.32846782,15.40127496,1.311690410748319
76.5,-3.292683774,15.40943252,0.085900184,13.53710097,14.252097025217363,15.40943252,17.12166319,19.4055104,15.40943252,1.3236730888035837
77.5,-3.305124073,15.41868691,0.086644667,13.53412147,14.252661991330102,15.41868691,17.15205629,19.48434431,15.41868691,1.335946992894209
78.5,-3.314768951,15.42902273,0.087400421,13.53168472,14.2540088620669,15.42902273,17.18380454,19.56489823,15.42902273,1.3485030822205695
79.5,-3.321785992,15.44042439,0.088166744,13.52979573,14.256132716618142,15.44042439,17.21688072,19.64710224,15.44042439,1.3613319444444862
80.5,-3.326345795,15.45287581,0.088942897,13.52845994,14.259028765126686,15.45287581,17.25125697,19.7308886,15.45287581,1.3744235415226216
81.5,-3.328602731,15.46636218,0.089728202,13.5276813,14.262692092039147,15.46636218,17.28690708,19.81618799,15.46636218,1.3877688698922006
82.5,-3.328725277,15.48086704,0.090521875,13.52746565,14.267118162053867,15.48086704,17.32380254,19.902936,15.48086704,1.4013571110865
83.5,-3.32687018,15.49637465,0.091323162,13.52781794,14.272302413336618,15.49637465,17.3619157,19.99106797,15.49637465,1.4151779325746432
84.5,-3.323188896,15.51286936,0.092131305,13.52874305,14.278240352343246,15.51286936,17.40121891,20.08052042,15.51286936,1.4292208984313148
85.5,-3.317827016,15.53033563,0.092945544,13.53024568,14.284927544270023,15.53033563,17.44168456,20.17123104,15.53033563,1.4434754936329328
86.5,-3.310923871,15.54875807,0.093765118,13.53233036,14.292359636661224,15.54875807,17.48328513,20.2631386,15.54875807,1.4579311351870021
87.5,-3.302612272,15.56812143,0.09458927,13.53500147,14.300532294357104,15.56812143,17.52599317,20.35618297,15.56812143,1.4725772413350562
88.5,-3.293018361,15.58841065,0.095417247,13.53826314,14.309441247367229,15.58841065,17.56978138,20.45030507,15.58841065,1.4874032293284805
89.5,-3.282260813,15.60961101,0.096248301,13.54211938,14.319082384225498,15.60961101,17.61462266,20.54544624,15.60961101,1.502398538983394
90.5,-3.270454609,15.63170735,0.097081694,13.54657375,14.329451167059512,15.63170735,17.66048985,20.64155132,15.63170735,1.5175526296502508
91.5,-3.257703616,15.65468563,0.097916698,13.55162988,14.340543702661854,15.65468563,17.70735632,20.73856241,15.65468563,1.5328551251176497
92.5,-3.244108214,15.67853139,0.098752593,13.55729098,14.352355721656394,15.67853139,17.75519541,20.83642509,15.67853139,1.5482956291943943
93.5,-3.229761713,15.70323052,0.099588675,13.56356006,14.364883018324633,15.70323052,17.80398077,20.93508525,15.70323052,1.563863920706361
94.5,-3.214751287,15.72876911,0.100424251,13.57043987,14.378121409882052,15.72876911,17.85368626,21.03448975,15.72876911,1.5795498570236868
95.5,-3.199158184,15.75513347,0.101258643,13.57793291,14.39206671471793,15.75513347,17.90428602,21.13458634,15.75513347,1.5953434354560811
96.5,-3.18305795,15.78231007,0.102091189,13.58604144,14.406714690751922,15.78231007,17.95575444,21.2353237,15.78231007,1.611234800212973
97.5,-3.166520664,15.8102856,0.102921245,13.59476742,14.422061072052777,15.8102856,18.00806622,21.33665138,15.8102856,1.627214277757572
98.5,-3.1496103,15.83904708,0.103748189,13.60411246,14.438101578571935,15.83904708,18.06119653,21.4385195,15.83904708,1.6432724500357383
99.5,-3.132389637,15.86858123,0.104571386,13.61407844,14.454831999553358,15.86858123,18.1151201,21.54088032,15.86858123,1.659399533074685
100.5,-3.114911153,15.89887562,0.105390269,13.62466611,14.472247813284193,15.89887562,18.16981303,21.64368493,15.89887562,1.6755867783893417
101.5,-3.097226399,15.92991765,0.106204258,13.63587653,14.490344679122288,15.92991765,18.22525119,21.74688677,15.92991765,1.6918250840193536
102.5,-3.079383079,15.96169481,0.107012788,13.64771054,14.509118191747,15.96169481,18.28141055,21.85043987,15.96169481,1.7081054628232302
103.5,-3.061423765,15.99419489,0.107815327,13.66016853,14.52856378207465,15.99419489,18.33826774,21.95429887,15.99419489,1.724419352167079
104.5,-3.043386071,16.02740607,0.108611374,13.67325038,14.548676813643976,16.02740607,18.39579999,22.05841878,16.02740607,1.7407585949186404
105.5,-3.025310003,16.0613159,0.109400388,13.68695684,14.569452898596662,16.0613159,18.45398355,22.16275742,16.0613159,1.7571141912505692
106.5,-3.007225737,16.09591292,0.110181915,13.70128712,14.590887178856331,16.09591292,18.51279647,22.26727123,16.09591292,1.7734785091988419
107.5,-2.989164598,16.13118532,0.110955478,13.71624103,14.612975013508255,16.13118532,18.57221621,22.37191887,16.13118532,1.789843377887183
108.5,-2.971148225,16.16712234,0.111720691,13.73181676,14.63571125980772,16.16712234,18.63222223,22.47665729,16.16712234,1.8062020793063367
109.5,-2.953208047,16.20371168,0.112477059,13.7480147,14.659091438496167,16.20371168,18.69279128,22.58144893,16.20371168,1.8225458346503494
110.5,-2.935363951,16.24094239,0.1132242,13.76483325,14.683110453106018,16.24094239,18.75390266,22.68625363,16.24094239,1.8388677093538381
111.5,-2.917635157,16.27880346,0.113961734,13.78227084,14.707763255664785,16.27880346,18.81553565,22.79103265,16.27880346,1.8551606697467995
112.5,-2.900039803,16.31728385,0.114689291,13.80032593,14.733044753465338,16.31728385,18.87766958,22.89574847,16.31728385,1.8714177158022502
113.5,-2.882593796,16.35637267,0.115406523,13.81899666,14.758949749929856,16.35637267,18.94028419,23.00036429,16.35637267,1.8876320987369262
114.5,-2.865311266,16.39605916,0.116113097,13.83828098,14.785473027357076,16.39605916,19.00335954,23.10484416,16.39605916,1.9037972076628185
115.5,-2.848204697,16.43633265,0.116808702,13.85817663,14.812609231480353,16.43633265,19.06687603,23.20915296,16.43633265,1.9199066824867204
116.5,-2.831285052,16.47718256,0.117493042,13.87868113,14.84035295136851,16.47718256,19.13081436,23.31325641,16.47718256,1.9359543025637476
117.5,-2.81456189,16.51859843,0.11816584,13.8997918,14.86869870094418,16.51859843,19.19515554,23.41712109,16.51859843,1.9519340591036312
118.5,-2.79804347,16.56056987,0.118826835,13.92150576,14.897640907675019,16.56056987,19.25988094,23.5207144,16.56056987,1.9678401034484614
119.5,-2.781736856,16.60308661,0.119475785,13.94381995,14.927173923098927,16.60308661,19.3249722,23.62400462,16.60308661,1.9836668061527387
120.5,-2.765648008,16.64613844,0.120112464,13.96673109,14.957292002379305,16.64613844,19.3904113,23.72696086,16.64613844,1.9994087041135165
121.5,-2.749782197,16.68971518,0.120736656,13.99023581,14.98798937189957,16.68971518,19.45618042,23.82955322,16.68971518,2.015060400425638
122.5,-2.734142443,16.73380695,0.121348181,14.01433021,15.019260041134892,16.73380695,19.52226247,23.93175206,16.73380695,2.030617034587658
123.5,-2.718732873,16.77840363,0.121946849,14.0390107,15.051098106524673,16.77840363,19.58864006,24.0335295,16.77840363,2.0460734539286616
124.5,-2.703555506,16.82349538,0.122532501,14.06427317,15.083497484986347,16.82349538,19.65529649,24.1348579,16.82349538,2.0614249644733453
125.5,-2.688611957,16.86907238,0.123104991,14.09011344,15.116452016048761,16.86907238,19.72221531,24.23571063,16.86907238,2.0766670035182484
126.5,-2.673903164,16.91512487,0.123664186,14.11652711,15.14995547042846,16.91512487,19.78938034,24.33606191,16.91512487,2.0917951481369057
127.5,-2.659429443,16.96164317,0.124209969,14.14350962,15.18400153145598,16.96164317,19.85677572,24.43588681,16.96164317,2.1068051723347616
128.5,-2.645190534,17.00861766,0.124742239,14.17105623,15.218583774835894,17.00861766,19.92438591,24.53516127,17.00861766,2.1216930492033406
129.5,-2.631185649,17.05603879,0.125260905,14.19916203,15.253695746321883,17.05603879,19.99219565,24.63386207,17.05603879,2.136454854550505
130.5,-2.617413511,17.10389705,0.125765895,14.22782193,15.289330826890355,17.10389705,20.06019002,24.73196683,17.10389705,2.15108692048111
131.5,-2.603872392,17.15218302,0.126257147,14.25703066,15.325482381093186,17.15218302,20.12835437,24.82945404,17.15218302,2.1655856929270434
132.5,-2.590560148,17.20088732,0.126734613,14.28678279,15.362143663126854,17.20088732,20.19667437,24.92630305,17.20088732,2.179947797756807
133.5,-2.577474253,17.25000062,0.12719826,14.31707271,15.399307811609908,17.25000062,20.265136,25.02249405,17.25000062,2.1941700638629213
134.5,-2.564611831,17.29951367,0.127648067,14.34789463,15.436967909713424,17.29951367,20.33372554,25.11800807,17.29951367,2.208249480015576
135.5,-2.551969684,17.34941726,0.128084023,14.37924262,15.475116971167218,17.34941726,20.40242956,25.21282703,17.34941726,2.2221831593664367
136.5,-2.539539972,17.39970308,0.128506192,14.41110933,15.513747520561346,17.39970308,20.4712365,25.3069313,17.39970308,2.235969584741471
137.5,-2.527325681,17.45036072,0.128914497,14.44349038,15.552852936144976,17.45036072,20.54013114,25.40030815,17.45036072,2.2496044746873576
138.5,-2.515320235,17.50138161,0.129309001,14.47637861,15.592425709838578,17.50138161,20.60910189,25.49294066,17.50138161,2.2630861721088715
139.5,-2.503519447,17.55275674,0.129689741,14.50976741,15.632458499010163,17.55275674,20.6781365,25.58481418,17.55275674,2.2764124754466044
140.5,-2.491918934,17.60447714,0.130056765,14.54365005,15.672943869546403,17.60447714,20.74722303,25.67591492,17.60447714,2.289581346344852
141.5,-2.480514136,17.6565339,0.130410133,14.57801961,15.713874299234142,17.6565339,20.81634983,25.76622996,17.6565339,2.3025909342180086
142.5,-2.469300331,17.70891811,0.130749913,14.61286903,15.75524217056608,17.70891811,20.88550554,25.85574725,17.70891811,2.3154395022066243
143.5,-2.458272656,17.76162094,0.131076187,14.6481911,15.797039766999085,17.76162094,20.95467909,25.94445561,17.76162094,2.328125547754556
144.5,-2.447426113,17.81463359,0.131389042,14.68397844,15.839259335388546,17.81463359,21.02385969,26.0323447,17.81463359,2.3406476409711208
145.5,-2.436755595,17.86794729,0.131688579,14.72022354,15.881892974744058,17.86794729,21.09303687,26.11940509,17.86794729,2.3530045882670008
146.5,-2.426255887,17.92155332,0.131974905,14.75691872,15.92493274888411,17.92155332,21.1622004,26.20562819,17.92155332,2.3651952968594347
147.5,-2.415921689,17.97544299,0.132248138,14.79405616,15.9683706060519,17.97544299,21.23134038,26.2910063,17.97544299,2.3772188651526527
148.5,-2.405747619,18.02960765,0.132508403,14.83162791,16.012198434309116,18.02960765,21.30044717,26.37553258,18.02960765,2.389074516418083
149.5,-2.395728233,18.08403868,0.132755834,14.86962583,16.05640802681307,18.08403868,21.36951141,26.45920106,18.08403868,2.4007616370516587
150.5,-2.385858029,18.1387275,0.132990575,14.90804168,16.100991075343156,18.1387275,21.43852405,26.54200665,18.1387275,2.4122797999933128
151.5,-2.376131459,18.19366555,0.133212776,14.94686707,16.145939200784984,18.19366555,21.5074763,26.62394515,18.19366555,2.4236286935310667
152.5,-2.366542942,18.24884431,0.133422595,14.98609343,16.19124394444178,18.24884431,21.57635964,26.7050132,18.24884431,2.4348081635911845
153.5,-2.357086871,18.3042553,0.133620197,15.0257121,16.236896778544747,18.3042553,21.64516586,26.78520835,18.3042553,2.445818199124294
154.5,-2.347757625,18.35989003,0.133805756,15.06571426,16.28288903504861,18.35989003,21.71388701,26.86452902,18.35989003,2.4566589655410125
155.5,-2.338549576,18.41574009,0.133979452,15.10609095,16.32921202147068,18.41574009,21.78251541,26.94297451,18.41574009,2.4673307654326306
156.5,-2.3294571,18.47179706,0.13414147,15.14683307,16.375856952670382,18.47179706,21.85104367,27.02054498,18.47179706,2.4778340111700783
157.5,-2.320474586,18.52805255,0.134292005,15.1879314,16.42281492085227,18.52805255,21.91946467,27.09724149,18.52805255,2.4881693256848627
158.5,-2.311596446,18.5844982,0.134431256,15.22937658,16.470076970881927,18.5844982,21.98777156,27.173066,18.5844982,2.498337435155739
159.5,-2.302817124,18.64112567,0.134559427,15.27115913,16.51763407759842,18.64112567,22.05595776,27.24802132,18.64112567,2.5083391887901914
160.5,-2.294131107,18.69792663,0.134676731,15.31326943,16.565477084103303,18.69792663,22.12401698,27.32211115,18.69792663,2.5181756350062465
161.5,-2.285532933,18.75489278,0.134783385,15.35569774,16.613596782669262,18.75489278,22.19194317,27.39534011,18.75489278,2.52784793420046
162.5,-2.277017201,18.81201584,0.134879611,15.39843418,16.661983892115416,18.81201584,22.25973057,27.46771366,18.81201584,2.5373573786250385
163.5,-2.268578584,18.86928753,0.134965637,15.44146877,16.710629026419472,18.86928753,22.32737368,27.53923819,18.86928753,2.546705411222607
164.5,-2.260211837,18.92669959,0.135041695,15.48479139,16.75952273752843,18.92669959,22.39486727,27.60992094,18.92669959,2.5558935933894045
165.5,-2.251911809,18.98424378,0.135108024,15.52839182,16.80865547527585,18.98424378,22.46220636,27.67977007,18.98424378,2.5649236642500908
