age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
24.0,0.941523967,86.45220101,0.040321528,79.91084447,82.8437834203866,86.45220101,90.06944965476885,93.02265441,86.45220101,3.4858848436863434
24.5,1.00720807,86.86160934,0.040395626,80.26037074,83.22438503924508,86.86160934,90.49773582738544,93.45923029,86.86160934,3.5088290846567465
25.5,0.837251351,87.65247282,0.040577525,81.0052937,83.97890578380286,87.65247282,91.3512747080436,94.38278047,87.65247282,3.5567204071653706
26.5,0.681492975,88.42326434,0.040723122,81.7341574,84.71641591702341,88.42326434,92.18028632448859,95.27761711,88.42326434,3.6008713813560695
27.5,0.538779654,89.17549228,0.040833194,82.44845648,85.4383797253816,89.17549228,92.98627074615318,96.14511823,89.17549228,3.6413201763147427
28.5,0.407697153,89.91040853,0.040909059,83.14944982,86.14599368725759,89.91040853,93.77055884469839,96.98662531,89.91040853,3.678150207267873
29.5,0.286762453,90.62907762,0.040952433,83.83819399,86.84024934715009,90.62907762,94.53435813392915,97.8034532,90.62907762,3.71148122908485
30.5,0.174489485,91.33242379,0.04096533,84.51558277,87.5219806236923,91.33242379,95.27878701041323,98.59690538,91.33242379,3.741462880257201
31.5,0.069444521,92.02127167,0.040949976,85.18238019,88.19190446974835,92.02127167,96.00490302954677,99.36828331,92.02127167,3.76826886637598
32.5,-0.029720564,92.69637946,0.040908737,85.83925011,88.85065496024431,92.69637946,96.71372564603041,100.1188932,92.69637946,3.7920918081813424
33.5,-0.124251789,93.35846546,0.040844062,86.48678276,89.49881123002868,93.35846546,97.40625447133748,100.8500508,93.35846546,3.813138951473099
34.5,-0.215288396,94.00822923,0.040758431,87.12551862,90.13692106842194,94.00822923,98.08348330233409,101.5630853,94.00822923,3.8316279245031377
35.5,-0.30385434,94.64636981,0.040654312,87.75596799,90.7655208989647,94.64636981,98.7464116543672,102.2593402,94.64636981,3.8477830479231203
36.5,-0.390918369,95.27359106,0.04053412,88.37863651,91.38514897268415,95.27359106,99.39604927904342,102.940182,95.27359106,3.8618311728569674
37.5,-0.254801167,95.91474929,0.040572876,88.93297086,91.98563012558664,95.91474929,100.05677311057597,103.5982668,95.91474929,3.8915372295142583
38.5,-0.125654535,96.54734328,0.04061691,89.47916294,92.57764682504204,96.54734328,100.70968241600032,104.2502776,96.54734328,3.921454752742865
39.5,-0.00316735,97.17191309,0.040666414,90.01765704,93.16168141273384,97.17191309,101.35533922949745,104.8967054,97.17191309,3.9516332468899593
40.5,0.11291221,97.78897727,0.040721467,90.54890623,93.73820949924507,97.78897727,101.99427729111999,105.5380208,97.78897727,3.982110610864055
41.5,0.222754969,98.3990283,0.040782045,91.07337426,94.30769748838175,98.3990283,102.62700024248961,106.1746779,98.3990283,4.012913600086874
42.5,0.326530126,99.00254338,0.040848042,91.59152368,94.87060503782075,99.00254338,103.25398787450031,106.8071048,99.00254338,4.044060050093062
43.5,0.42436156,99.599977,0.040919281,92.10382052,95.42738110428168,99.599977,103.8756934208252,107.4357106,99.599977,4.075559446456537
44.5,0.516353108,100.191764,0.040995524,92.6107295,95.97846424371471,100.191764,104.4925454681332,108.0608826,100.191764,4.107413865664336
45.5,0.602595306,100.7783198,0.041076485,93.11271174,96.52428129131978,100.7783198,105.10494889721639,108.6829866,100.7783198,4.139619141589903
