age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
24.0,-0.98660853,16.42339664,0.085451785,14.1473467,15.08648989361683,16.42339664,18.01820579,19.56410958,16.42339664,1.4034085586510023
24.5,-1.024496827,16.38804056,0.085025838,14.13226271,15.062103924919272,16.38804056,17.97371413,19.51534333,16.38804056,1.3934068817919893
25.5,-1.102698353,16.3189719,0.084214052,14.10240814,15.01417778119347,16.3189719,17.88748812,19.42197989,16.3189719,1.374286748173139
26.5,-1.18396635,16.25207985,0.083455124,14.07297394,14.967381055072375,16.25207985,17.80489051,19.33410382,16.25207985,1.3563193391396515
27.5,-1.268071036,16.18734669,0.082748284,14.04396337,14.921715540898816,16.18734669,17.72586396,19.25163039,16.18734669,1.33947516111058
28.5,-1.354751525,16.12475448,0.082092737,14.01538008,14.8771826501387,16.12475448,17.65035137,19.17447582,16.12475448,1.3237252287162118
29.5,-1.443689692,16.06428762,0.081487717,13.98722569,14.833783801765724,16.06428762,17.57829774,19.10255392,16.06428762,1.3090421233851637
30.5,-1.53454192,16.00593001,0.080932448,13.95950246,14.791519857026199,16.00593001,17.50964839,19.03577948,16.00593001,1.2953990982259647
31.5,-1.626928093,15.94966631,0.080426175,13.93221207,14.750391277171012,15.94966631,17.44434994,18.97406651,15.94966631,1.2827706538396642
32.5,-1.720434829,15.89548197,0.079968176,13.90535562,14.710398085789897,15.89548197,17.38235043,18.91732801,15.89548197,1.271132699781787
33.5,-1.814635262,15.84336179,0.079557735,13.87893492,14.67153964647532,15.84336179,17.32359846,18.86547771,15.84336179,1.2604619787979456
34.5,-1.909076262,15.79329146,0.079194187,13.852951,14.633814805178265,15.79329146,17.26804436,18.81842784,15.79329146,1.250736877228743
35.5,-2.003296102,15.7452564,0.078876895,13.82740517,14.597221727793738,15.7452564,17.21563951,18.7760905,15.7452564,1.241936935810878
36.5,-2.096828937,15.69924188,0.078605255,13.80229888,14.561757950440777,15.69924188,17.16633643,18.73837743,15.69924188,1.2340429112840794
37.5,-2.189211877,15.65523282,0.078378696,13.77763382,14.527420293801011,15.65523282,17.12008872,18.70520011,15.65523282,1.2270367340080026
38.5,-2.279991982,15.61321371,0.078196674,13.75341201,14.494204949701777,15.61321371,17.07685104,18.67646985,15.61321371,1.2209013825732005
39.5,-2.368732949,15.57316843,0.078058667,13.72963586,14.462107441767788,15.57316843,17.03657894,18.65209796,15.57316843,1.2156207686122829
40.5,-2.455021314,15.53508019,0.077964169,13.70630824,14.431122690515574,15.53508019,16.99922885,18.63199585,15.53508019,1.2111796173617122
41.5,-2.538471972,15.49893145,0.077912684,13.68343254,14.401245039508176,15.49893145,16.96475788,18.61607518,15.49893145,1.2075633484015118
42.5,-2.618732901,15.46470384,0.077903716,13.66101266,14.372468312355956,15.46470384,16.93312378,18.60424802,15.46470384,1.2047578959754695
43.5,-2.695488973,15.43237817,0.077936763,13.63905306,14.34478588515486,15.43237817,16.90428477,18.59642696,15.43237817,1.2027495999616638
44.5,-2.768464816,15.40193436,0.078011309,13.61755872,14.318190694741187,15.40193436,16.87819947,18.59252526,15.40193436,1.2015250605556773
45.5,-2.837426693,15.37335154,0.078126817,13.59653518,14.292675379651573,15.37335154,16.85482681,18.59245694,15.37335154,1.2010710224422483
46.5,-2.902178205,15.34660842,0.078282739,13.57598804,14.268232274341404,15.34660842,16.83412628,18.59613624,15.34660842,1.2013745414780626
47.5,-2.962580386,15.32168181,0.078478449,13.55592455,14.244853493993434,15.32168181,16.81605638,18.6034803,15.32168181,1.2024218245203127
48.5,-3.018521987,15.29854897,0.078713325,13.53635124,14.222531053765879,15.29854897,16.80057671,18.61440545,15.29854897,1.2041996571040252
49.5,-3.069936555,15.27718618,0.078986694,13.51727537,14.201256802831292,15.27718618,16.78764654,18.62882971,15.27718618,1.2066944299806888
