age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
24.0,1.07244896,84.97555512,0.040791394,78.43754166,81.37740290273302,84.97555512,88.56269928761087,91.47728689,84.97555512,3.4662713492686374
24.5,1.051272912,85.3973169,0.040859727,78.82133263,81.77688964548797,85.3973169,89.00988890202875,91.94741225,85.3973169,3.4893110550664863
25.5,1.041951175,86.29026318,0.041142161,79.60197647,82.60740770783114,86.29026318,89.96653427593567,92.95684975,86.29026318,3.5501679004839315
26.5,1.012592236,87.15714182,0.041349399,80.37554759,83.42092131755821,87.15714182,90.89134597218944,93.9320912,87.15714182,3.6038954328147668
27.5,0.970541909,87.9960184,0.041500428,81.1356973,84.21352678918515,87.9960184,91.78330708112672,94.87214661,87.9960184,3.651872425895875
28.5,0.921129988,88.8055115,0.041610508,81.87746051,84.9822326888136,88.8055115,92.6418201989989,95.77649339,88.8055115,3.6952424467148415
29.5,0.868221392,89.58476689,0.041691761,82.59711819,85.72488369851376,89.58476689,93.46669671303461,96.64504712,89.58476689,3.7349466904185933
30.5,0.81454413,90.33341722,0.04175368,83.29206184,86.4400782012967,90.33341722,94.25813406874234,97.47813528,90.33341722,3.7717525959103697
31.5,0.761957977,91.0515436,0.041803562,83.96065415,87.12708847124743,91.0515436,95.01668951646815,98.27646264,91.0515436,3.8062788480783034
32.5,0.711660228,91.7396352,0.041846882,84.60209562,87.78578268914985,91.7396352,95.74325033536483,99.04107435,91.7396352,3.8390176889374463
33.5,0.664323379,92.39854429,0.041887626,85.21630353,88.41654774659841,92.39854429,96.43900136691168,99.77332166,92.39854429,3.8703556661639555
34.5,0.620285102,93.02945392,0.041928568,85.80378996,89.02022192154709,93.02945392,97.10539655989,100.4748164,93.02945392,3.9005917846875864
35.5,0.57955631,93.63382278,0.041971514,86.36557262,89.59802256705426,93.63382278,97.74412032265373,101.1474075,93.63382278,3.929953303684289
36.5,0.54198094,94.21335709,0.042017509,86.90307328,90.15148865499893,94.21335709,98.35706126856235,101.7931359,94.21335709,3.958610579449289
