age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
24.0,-0.73533951,12.05503983,0.107399495,9.985667562,10.831859258102197,12.05503983,13.539559835287688,15.00156359,12.05503983,1.2947051899468858
24.5,-0.75220657,12.13455523,0.107740345,10.04880792,10.900777388197616,12.13455523,13.635721694370915,15.1183895,12.13455523,1.3073811669017543
25.5,-0.78423366,12.2910249,0.10847701,10.17173432,11.035565197395185,12.2910249,13.826223874554763,15.35122084,12.2910249,1.333293630987549
26.5,-0.81409582,12.44469258,0.109280828,10.29079033,11.166892542902703,12.44469258,14.014930732350482,15.58362686,12.44469258,1.3599663093478562
27.5,-0.841935504,12.59622335,0.110144488,10.40664383,11.295423491792256,12.59622335,14.20252056940605,15.8163176,12.59622335,1.3874045716193948
28.5,-0.867889398,12.74620911,0.111060815,10.51990171,11.421756832293928,12.74620911,14.389586342605359,16.0499034,12.74620911,1.4156043719170246
29.5,-0.892102647,12.89517218,0.112022759,10.63111516,11.546430127297887,12.89517218,14.576641349866529,16.28490586,12.89517218,1.4445527653836445
30.5,-0.914718817,13.04357164,0.113023467,10.74078194,11.669923875775611,13.04357164,14.764126786060944,16.52176469,13.04357164,1.4742296888156758
31.5,-0.935876584,13.19180874,0.114056328,10.84934933,11.792665573378999,13.19180874,14.95241841328079,16.76084508,13.19180874,1.5046092645627067
32.5,-0.955723447,13.34022934,0.115114953,10.95721927,11.915033094992644,13.34022934,15.14183079568734,17.00244749,13.34022934,1.5356598734833211
33.5,-0.974383363,13.48913319,0.116193327,11.0647471,12.037359009500166,13.48913319,15.332626637621914,17.24680927,13.48913319,1.5673472636922232
34.5,-0.991980756,13.63877446,0.11728575,11.17224778,12.159933387672188,13.63877446,15.525019347082857,17.49411514,13.63877446,1.599633891621945
35.5,-1.008640742,13.78936547,0.118386848,11.27999893,12.283007112829807,13.78936547,15.719177712188841,17.74450372,13.78936547,1.6324795139133386
36.5,-1.024471278,13.94108332,0.119491669,11.38824099,12.406795342896615,13.94108332,15.91523288537255,17.9980699,13.94108332,1.6658433135748612
37.5,-1.039573604,14.09407175,0.120595658,11.49718137,12.53148019147417,14.09407175,16.113281531093616,18.25487219,14.09407175,1.6996838565904613
38.5,-1.054039479,14.24844498,0.121694676,11.60699649,12.657213663142844,14.24844498,16.313390296429446,18.51493707,14.24844498,1.7339598953449264
39.5,-1.067946784,14.40429169,0.12278503,11.71783343,12.784120376202969,14.40429169,16.515600364181747,18.77826268,14.40429169,1.768631387285401
40.5,-1.081374153,14.56167529,0.1238634,11.82981465,12.912299807345864,14.56167529,16.71992880620216,19.04482627,14.56167529,1.803658611115386
41.5,-1.094381409,14.72064045,0.124926943,11.94303682,13.04182906862646,14.72064045,16.926375173411728,19.31458378,14.72064045,1.8390046104206443
42.5,-1.107021613,14.88121352,0.125973221,12.05757491,13.172764987613482,14.88121352,17.134922665045014,19.58747608,14.88121352,1.8746343995031478
43.5,-1.119338692,15.04340553,0.127000212,12.17348363,13.305146265966206,15.04340553,17.345541637036767,19.86343169,15.04340553,1.9105156915119723
44.5,-1.131367831,15.20721443,0.128006292,12.29079939,13.438995524271593,15.20721443,17.558192118537264,20.14236985,15.20721443,1.9466191308331935
45.5,-1.143135936,15.37262729,0.128990225,12.40954207,13.574321212366318,15.37262729,17.77282648206172,20.42420335,15.37262729,1.98291865297824
46.5,-1.15466215,15.53962221,0.129951143,12.52971675,13.711119381598797,15.53962221,17.989391598741356,20.70884106,15.53962221,2.0193916679776858
47.5,-1.165958392,15.70817017,0.130888527,12.65131534,13.849375392737,15.70817017,18.207830961642852,20.99619028,15.70817017,2.05601925541664
48.5,-1.177029925,15.87823668,0.131802186,12.77431816,13.989065476041299,15.87823668,18.42808654977778,21.28615884,15.87823668,2.0927863042493824
49.5,-1.187871001,16.04978452,0.132692269,12.89869431,14.130158302956461,16.04978452,18.65010162782413,21.57865549,16.04978452,2.1296823249198757
50.5,-1.198484073,16.2227706,0.133559108,13.0244072,14.272616068591482,16.2227706,18.87381804820889,21.8735972,16.2227706,2.1666987706246252
51.5,-1.208853947,16.39715363,0.134403386,13.15141009,14.416396161777115,16.39715363,19.099183637028766,22.17090276,16.39715363,2.2038329686341913
52.5,-1.218965087,16.57289122,0.13522599,13.279651,14.561452124859633,16.57289122,19.326149539905728,22.47049907,16.57289122,2.2410856223868074
53.5,-1.228798212,16.74994187,0.136028014,13.40907302,14.707734840951945,16.74994187,19.554672138349186,22.7723211,16.74994187,2.2784613271915464
54.5,-1.238330855,16.92826587,0.136810739,13.53961547,14.855193484703296,16.92826587,19.784714027911164,23.07631287,16.92826587,2.3159685636631777
55.5,-1.247537914,17.10782615,0.137575606,13.67121491,15.00377653452725,17.10782615,20.016244748248848,23.3824283,17.10782615,2.3536195499288968
56.5,-1.256392179,17.28858894,0.138324193,13.80380614,15.15343258103787,17.28858894,20.249241357784,23.69063187,17.28858894,2.3914301132342257
57.5,-1.264864846,17.47052444,0.139058192,13.9373231,15.304111159865863,17.47052444,20.48368899198592,24.00089913,17.47052444,2.4294195419182123
58.5,-1.272926011,17.65360733,0.139779387,14.07169977,15.455763445761134,17.65360733,20.719581227886263,24.31321719,17.65360733,2.4676104109261066
59.5,-1.28054514,17.83781722,0.140489635,14.20687088,15.608342867507714,17.83781722,20.956920423387675,24.62758492,17.83781722,2.506028430434515
60.5,-1.287691525,18.02313904,0.141190842,14.34277271,15.761805752725197,18.02313904,21.195717822832364,24.94401317,18.02313904,2.544702176540672
61.5,-1.294332076,18.20956418,0.141884974,14.47934293,15.916111799428306,18.20956418,21.43599465318404,25.26252369,18.20956418,2.5836635402306314
62.5,-1.300441561,18.3970876,0.142573939,14.61652406,16.071224509703654,18.3970876,21.677778717849858,25.5831532,18.3970876,2.6229452452600563
63.5,-1.305989011,18.58571243,0.143259709,14.75426001,16.227111655500554,18.58571243,21.92110909832779,25.90594748,18.58571243,2.6625837542794835
64.5,-1.310946941,18.77544728,0.143944216,14.89249907,16.383745570274606,18.77544728,22.166032987519063,26.23096473,18.77544728,2.702617038768933
65.5,-1.315289534,18.966307,0.144629359,15.03119376,16.541103461040905,18.966307,22.412606255642874,26.55827443,18.966307,2.743084824007213
66.5,-1.318992925,19.15831267,0.14531699,15.17030121,16.699167629194296,19.15831267,22.660893146892086,26.88795694,19.15831267,2.7840283306832636
67.5,-1.322035315,19.35149163,0.146008903,15.30978338,16.857925669682473,19.35149163,22.910966030330012,27.2201029,19.35149163,2.825490064309982
68.5,-1.324398133,19.54587708,0.146706813,15.4496077,17.01737061214449,19.54587708,23.162904696086297,27.55481321,19.54587708,2.8675133336965457
69.5,-1.326064539,19.74150854,0.147412363,15.5897467,17.177501014434387,19.74150854,23.416796548819452,27.89219758,19.74150854,2.91014242306608
70.5,-1.327020415,19.93843145,0.148127109,15.73017845,17.33832100176379,19.93843145,23.672735985099557,28.2323743,19.93843145,2.953422208683178
71.5,-1.327256387,20.13669623,0.148852482,15.87088741,17.49984037861578,20.13669623,23.930822822029466,28.57547042,20.13669623,2.997397213115543
