age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
61,-0.7387,15.2641,0.0839,13.148,14.03,15.264,16.7,18.052,15.2641,1.28065799
62,-0.7621,15.2616,0.08414,13.144,14.026,15.262,16.703,18.065,15.2616,1.284111024
63,-0.7856,15.2604,0.08439,13.14,14.023,15.26,16.708,18.08,15.2604,1.2878251560000002
64,-0.8089,15.2605,0.08464,13.138,14.02,15.26,16.714,18.096,15.2605,1.2916487200000002
65,-0.8322,15.2619,0.0849,13.137,14.019,15.262,16.722,18.114,15.2619,1.2957353100000002
66,-0.8554,15.2645,0.08516,13.137,14.019,15.264,16.732,18.134,15.2645,1.29992482
67,-0.8785,15.2684,0.08543,13.138,14.02,15.268,16.743,18.156,15.2684,1.304379412
68,-0.9015,15.2737,0.0857,13.14,14.023,15.274,16.755,18.18,15.2737,1.30895609
69,-0.9243,15.2801,0.08597,13.143,14.026,15.28,16.769,18.205,15.2801,1.313630197
70,-0.9471,15.2877,0.08625,13.146,14.031,15.288,16.784,18.232,15.2877,1.3185641249999998
71,-0.9697,15.2965,0.08653,13.151,14.036,15.296,16.801,18.261,15.2965,1.3236061449999998
72,-0.9921,15.3062,0.08682,13.157,14.042,15.306,16.819,18.291,15.3062,1.328884284
73,-1.0144,15.3169,0.08711,13.163,14.049,15.317,16.838,18.323,15.3169,1.3342551590000002
74,-1.0365,15.3285,0.08741,13.17,14.057,15.328,16.858,18.356,15.3285,1.339864185
75,-1.0584,15.3408,0.08771,13.177,14.065,15.341,16.879,18.39,15.3408,1.345541568
76,-1.0801,15.354,0.08802,13.185,14.075,15.354,16.902,18.426,15.354,1.35145908
77,-1.1017,15.3679,0.08833,13.193,14.084,15.368,16.925,18.463,15.3679,1.3574466070000002
78,-1.123,15.3825,0.08865,13.202,14.095,15.382,16.949,18.501,15.3825,1.3636586250000002
79,-1.1441,15.3978,0.08898,13.212,14.105,15.398,16.974,18.541,15.3978,1.370096244
80,-1.1649,15.4137,0.08931,13.222,14.117,15.414,17.0,18.582,15.4137,1.376597547
81,-1.1856,15.4302,0.08964,13.232,14.128,15.43,17.026,18.623,15.4302,1.3831631279999999
82,-1.206,15.4473,0.08998,13.242,14.141,15.447,17.054,18.666,15.4473,1.389948054
83,-1.2261,15.465,0.09033,13.253,14.153,15.465,17.082,18.71,15.465,1.3969534499999998
84,-1.246,15.4832,0.09068,13.265,14.166,15.483,17.111,18.756,15.4832,1.4040165759999998
85,-1.2656,15.5019,0.09103,13.276,14.18,15.502,17.14,18.801,15.5019,1.411137957
86,-1.2849,15.521,0.09139,13.288,14.194,15.521,17.17,18.848,15.521,1.4184641900000001
87,-1.304,15.5407,0.09176,13.301,14.208,15.541,17.202,18.897,15.5407,1.4260146319999998
88,-1.3228,15.5608,0.09213,13.313,14.223,15.561,17.233,18.945,15.5608,1.4336165040000002
89,-1.3414,15.5814,0.09251,13.326,14.238,15.581,17.265,18.996,15.5814,1.441435314
90,-1.3596,15.6023,0.09289,13.339,14.253,15.602,17.298,19.047,15.6023,1.449297647
91,-1.3776,15.6237,0.09327,13.352,14.268,15.624,17.332,19.098,15.6237,1.457222499
92,-1.3953,15.6455,0.09366,13.365,14.284,15.646,17.366,19.151,15.6455,1.46535753
93,-1.4126,15.6677,0.09406,13.379,14.3,15.668,17.4,19.205,15.6677,1.473703862
94,-1.4297,15.6903,0.09445,13.393,14.317,15.69,17.435,19.259,15.6903,1.481948835
95,-1.4464,15.7133,0.09486,13.407,14.333,15.713,17.471,19.315,15.7133,1.490563638
96,-1.4629,15.7368,0.09526,13.422,14.35,15.737,17.508,19.371,15.7368,1.499087568
97,-1.479,15.7606,0.09567,13.436,14.368,15.761,17.544,19.428,15.7606,1.5078166020000001
98,-1.4947,15.7848,0.09609,13.451,14.385,15.785,17.582,19.486,15.7848,1.516761432
99,-1.5101,15.8094,0.09651,13.466,14.403,15.809,17.62,19.545,15.8094,1.5257651939999999
100,-1.5252,15.8344,0.09693,13.482,14.421,15.834,17.659,19.605,15.8344,1.534828392
101,-1.5399,15.8597,0.09735,13.497,14.44,15.86,17.698,19.666,15.8597,1.543941795
102,-1.5542,15.8855,0.09778,13.513,14.459,15.886,17.738,19.727,15.8855,1.55328419
103,-1.5681,15.9116,0.09821,13.529,14.478,15.912,17.778,19.789,15.9116,1.562678236
104,-1.5817,15.9381,0.09864,13.545,14.497,15.938,17.818,19.852,15.9381,1.572134184
105,-1.5948,15.9651,0.09907,13.562,14.517,15.965,17.86,19.916,15.9651,1.581662457
106,-1.6076,15.9925,0.09951,13.579,14.537,15.992,17.902,19.981,15.9925,1.591413675
107,-1.6199,16.0205,0.09994,13.596,14.558,16.02,17.944,20.046,16.0205,1.6010887699999998
108,-1.6318,16.049,0.10038,13.614,14.579,16.049,17.987,20.112,16.049,1.61099862
109,-1.6433,16.0781,0.10082,13.632,14.6,16.078,18.031,20.18,16.0781,1.620994042
110,-1.6544,16.1078,0.10126,13.65,14.622,16.108,18.076,20.248,16.1078,1.6310758280000002
111,-1.6651,16.1381,0.1017,13.669,14.645,16.138,18.121,20.317,16.1381,1.6412447700000001
112,-1.6753,16.1692,0.10214,13.689,14.668,16.169,18.168,20.388,16.1692,1.6515220879999999
113,-1.6851,16.2009,0.10259,13.708,14.691,16.201,18.215,20.459,16.2009,1.662050331
114,-1.6944,16.2333,0.10303,13.729,14.716,16.233,18.263,20.531,16.2333,1.672516899
115,-1.7032,16.2665,0.10347,13.75,14.741,16.266,18.311,20.605,16.2665,1.6830947550000002
116,-1.7116,16.3004,0.10391,13.771,14.766,16.3,18.361,20.679,16.3004,1.693774564
117,-1.7196,16.3351,0.10435,13.794,14.793,16.335,18.412,20.754,16.3351,1.704567685
118,-1.7271,16.3704,0.10478,13.816,14.82,16.37,18.462,20.83,16.3704,1.715290512
119,-1.7341,16.4065,0.10522,13.84,14.847,16.406,18.515,20.907,16.4065,1.72629193
