age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
0,1.0,49.8842,0.03795,46.32365948293132,47.922122363973344,49.8842,51.84627763602666,53.44474051706868,49.8842,1.8931053899999999
1,1.0,54.7244,0.03557,51.063347017467024,52.706933790332904,54.7244,56.7418662096671,58.38545298253298,54.7244,1.946546908
2,1.0,58.4203,0.03424,54.65812772146822,56.34711081560508,58.4203,60.49348918439492,62.182472278531776,58.4203,2.0003110719999997
3,1.0,61.4292,0.03328,57.584173677363246,59.310353122282,61.4292,63.548046877718,65.27422632263675,61.4292,2.044363776
6,1.0,67.6236,0.03207,63.544743869089515,65.37589846236425,67.6236,69.87130153763576,71.70245613091046,67.6236,2.168688852
9,1.0,72.0328,0.03196,67.70289659904108,69.64675591808304,72.0328,74.41884408191696,76.3627034009589,72.0328,2.302168288
12,1.0,75.7488,0.03225,71.15421155159964,73.21689811652568,75.7488,78.28070188347432,80.34338844840036,75.7488,2.4428988
15,1.0,79.0603,0.03265,74.20537210976332,76.38493501193412,79.0603,81.73566498806586,83.91522789023668,79.0603,2.5813187949999996
18,1.0,81.9991,0.03306,76.90047495292362,79.18944283379257,81.9991,84.80875716620743,87.09772504707638,81.9991,2.710890246
24,1.0,86.989,0.03409,81.4115911719319,83.91550341259436,86.989,90.06249658740565,92.5664088280681,86.989,2.9654550100000003
30,1.0,91.3088,0.03503,85.29299275049912,87.9937188177164,91.3088,94.62388118228363,97.32460724950087,91.3088,3.198547264
36,1.0,95.2264,0.03586,88.80383080852145,91.68716787610649,95.2264,98.76563212389351,101.64896919147854,95.2264,3.4148187040000004
42,1.0,98.817,0.03656,92.0221637949325,95.07262576959432,98.817,102.56137423040566,105.61183620506748,98.817,3.61274952
48,1.0,102.1344,0.03716,94.99619711611179,98.20080953171102,102.1344,106.06799046828898,109.27260288388821,102.1344,3.7953143039999997
54,1.0,105.2135,0.03766,97.76115548355259,101.10679809853548,105.2135,109.3202019014645,112.6658445164474,105.2135,3.96234041
60,1.0,108.0845,0.03809,100.34138818656488,103.81756736728202,108.0845,112.35143263271799,115.82761181343513,108.0845,4.1169386050000005
61,-2.302,109.2,0.03384,102.90301104180541,105.57822414192972,109.2,113.26735157059498,116.97985639397983,109.2,3.6953280000000004
72,-1.755,115.2,0.03468,108.3010223486416,111.25383407721644,115.2,119.55744690345122,123.46290696290822,115.2,3.9951360000000005
84,-1.475,121.2,0.03612,113.60185930328582,116.86309621572471,121.2,125.95835231715496,130.19403295895307,121.2,4.377744
96,-1.347,127.3,0.03788,118.92778855487799,122.52184068237743,127.3,132.53977907944085,137.20076148979078,127.3,4.822124
108,-1.29,133.5,0.03971,124.31235867113092,128.25238326710345,133.5,139.26673889909264,144.40687259477804,133.5,5.301285
120,-1.267,140.1,0.04139,130.0754024762454,134.36818397477708,140.1,146.41781237219416,152.0659372507769,140.1,5.798739
132,-1.266,147.4,0.0427,136.5465428652779,141.18761405022428,147.4,154.2683786078567,160.4275146474223,147.4,6.29398
144,-1.28,155.2,0.0435,143.58204276415353,148.5442167346334,155.2,162.57715221979907,169.20953057005457,155.2,6.751199999999999
156,-1.304,162.9,0.0438,150.63942136675863,155.87175451757156,162.9,170.70406122640821,177.733409011892,162.9,7.13502
168,-1.334,169.6,0.04375,156.86234632380618,162.29525770174376,169.6,177.72119921297403,185.04589411777502,169.6,7.419999999999999
180,-1.368,174.8,0.04347,161.76454122265434,167.32241503576614,174.8,183.1205092673746,190.6320278780867,174.8,7.598556000000001
192,-1.403,178.3,0.04318,165.10104487652612,170.72655013711247,178.3,186.73442964444354,194.35598374066626,178.3,7.698994000000001
204,-1.437,180.5,0.04296,167.21634248120063,172.8755609199947,180.5,188.99946955054162,196.68792311889788,180.5,7.75428
216,-1.468,181.9,0.04282,168.56769020220932,174.2450799328085,181.9,190.4422256509476,198.17795060504818,181.9,7.788958
228,-1.494,182.6,0.04276,169.24570146914604,174.92993700559302,182.6,191.1677246264897,198.93492622619902,182.6,7.807976
