age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
61,-0.8886,15.2441,0.09692,12.874,13.846,15.244,16.936,18.598,15.2441,1.477458172
62,-0.9068,15.2434,0.09738,12.868,13.84,15.243,16.945,18.624,15.2434,1.484402292
63,-0.9248,15.2433,0.09783,12.861,13.835,15.243,16.956,18.65,15.2433,1.491252039
64,-0.9427,15.2438,0.09829,12.855,13.831,15.244,16.967,18.677,15.2438,1.498313102
65,-0.9605,15.2448,0.09875,12.85,13.827,15.245,16.979,18.705,15.2448,1.505424
66,-0.978,15.2464,0.0992,12.845,13.824,15.246,16.991,18.734,15.2464,1.5124428799999998
67,-0.9954,15.2487,0.09966,12.841,13.821,15.249,17.005,18.764,15.2487,1.5196854419999999
68,-1.0126,15.2516,0.10012,12.837,13.819,15.252,17.019,18.795,15.2516,1.526990192
69,-1.0296,15.2551,0.10058,12.834,13.817,15.255,17.034,18.827,15.2551,1.5343579580000002
70,-1.0464,15.2592,0.10104,12.831,13.816,15.259,17.049,18.86,15.2592,1.541789568
71,-1.063,15.2641,0.10149,12.829,13.816,15.264,17.065,18.894,15.2641,1.549153509
72,-1.0794,15.2697,0.10195,12.828,13.816,15.27,17.083,18.929,15.2697,1.556745915
73,-1.0956,15.276,0.10241,12.827,13.817,15.276,17.101,18.966,15.276,1.56441516
74,-1.1115,15.2831,0.10287,12.826,13.818,15.283,17.12,19.003,15.2831,1.572172497
75,-1.1272,15.2911,0.10333,12.827,13.821,15.291,17.14,19.042,15.2911,1.5800293630000002
76,-1.1427,15.2998,0.10379,12.828,13.824,15.3,17.161,19.081,15.2998,1.5879662419999998
77,-1.1579,15.3095,0.10425,12.83,13.828,15.31,17.183,19.123,15.3095,1.596015375
78,-1.1728,15.32,0.10471,12.832,13.832,15.32,17.206,19.165,15.32,1.6041572
79,-1.1875,15.3314,0.10517,12.836,13.838,15.331,17.23,19.209,15.3314,1.612403338
80,-1.2019,15.3439,0.10562,12.84,13.844,15.344,17.255,19.254,15.3439,1.6206227180000001
81,-1.216,15.3572,0.10608,12.845,13.851,15.357,17.281,19.3,15.3572,1.6290917759999999
82,-1.2298,15.3717,0.10654,12.851,13.86,15.372,17.309,19.348,15.3717,1.637700918
83,-1.2433,15.3871,0.107,12.857,13.869,15.387,17.337,19.397,15.3871,1.6464197
