age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
0,1.0,49.1477,0.0379,45.64434982741879,47.21713777445037,49.1477,51.07826222554963,52.65105017258121,49.1477,1.86269783
1,1.0,53.6872,0.03577,50.07534061121453,51.69684249747022,53.6872,55.67755750252977,57.299059388785466,53.6872,1.920391144
2,1.0,57.0673,0.0346,53.35361926762404,55.020832651178246,57.0673,59.11376734882177,60.780980732375966,57.0673,1.97452858
3,1.0,59.8029,0.03379,56.002305141191584,57.708537601842224,59.8029,61.89726239815777,63.60349485880842,59.8029,2.020739991
6,1.0,65.7311,0.03279,61.67738271256194,63.497251517072186,65.7311,67.96494848292781,69.78481728743805,65.7311,2.155322769
9,1.0,70.1435,0.03285,65.80974908400722,67.75533569977179,70.1435,72.53166430022821,74.47725091599278,70.1435,2.3042139749999997
12,1.0,73.9868,0.03318,69.3696735804954,71.44247830305831,73.9868,76.5311216969417,78.6039264195046,73.9868,2.454882024
15,1.0,77.4791,0.03354,72.59157754464024,74.78577339431529,77.4791,80.17242660568472,82.36662245535975,77.4791,2.5986490140000003
18,1.0,80.6961,0.03392,75.54796970791367,77.85916238756974,80.6961,83.53303761243026,85.84423029208634,80.6961,2.737211712
24,1.0,86.3931,0.03489,80.7239079755365,83.26902520511516,86.3931,89.51717479488485,92.0622920244635,86.3931,3.014255259
30,1.0,91.2938,0.03573,85.15878765664785,87.91302945183926,91.2938,94.67457054816073,97.42881234335216,91.2938,3.261927474
36,1.0,95.6233,0.03644,89.0696501242788,92.0118343267803,95.6233,99.23476567321971,102.1769498757212,95.6233,3.484513052
42,1.0,99.4627,0.03703,92.53554195053749,95.64540826440079,99.4627,103.27999173559922,106.3898580494625,99.4627,3.683103781
48,1.0,102.8772,0.03753,95.61549101967579,98.87555004788592,102.8772,106.87884995211408,110.1389089803242,102.8772,3.860981316
54,1.0,105.9071,0.03796,98.34587049983178,101.74039575045559,105.9071,110.07380424954441,113.46832950016821,105.9071,4.020233516
60,1.0,108.5891,0.03833,100.7608228464796,104.27523600718519,108.5891,112.90296399281482,116.4173771535204,108.5891,4.162220203
61,-1.726,109.4,0.03511,102.7681900923064,105.6063784198908,109.4,113.58972461033038,117.34538307760349,109.4,3.8410340000000005
72,-1.481,115.5,0.03656,108.17919105120166,111.31940186235076,115.5,120.09310026623234,124.1873160741602,115.5,4.22268
84,-1.349,121.8,0.03834,113.70028909337086,117.17539943912367,121.8,126.8774828736633,131.3995516299509,121.8,4.669811999999999
96,-1.281,128.4,0.04019,119.46227295510228,123.29371493415854,128.4,134.01572602516006,139.02502616450704,128.4,5.1603959999999995
108,-1.246,135.1,0.04194,125.30797616231563,129.5003415952132,135.1,141.2744861816552,146.79637715413114,135.1,5.666093999999999
120,-1.229,141.9,0.04343,131.2736992778742,135.81738583820766,141.9,148.62522070987535,154.65584838909513,141.9,6.162717000000001
132,-1.223,148.6,0.04457,137.2021433214722,142.07029991182952,148.6,155.83662095765698,162.3412145909025,148.6,6.623101999999999
144,-1.224,154.7,0.04529,142.6595197181907,147.7980226031224,154.7,162.3623022258925,169.2614331112842,154.7,7.0063629999999995
156,-1.23,159.7,0.0456,147.19549217086916,152.5295519925327,159.7,167.66832548159266,174.85035690646902,159.7,7.2823199999999995
168,-1.238,163.0,0.04562,150.23585670810417,155.67962450566597,163.0,171.13840508131003,178.47702230968528,163.0,7.43606
180,-1.246,164.9,0.04554,152.0116439245513,157.50793318563277,164.9,173.1196953355922,180.5331893806285,164.9,7.509545999999999
192,-1.254,166.0,0.04549,153.042584562249,158.56768968449268,166.0,174.26661147094612,181.72452630992873,166.0,7.551340000000001
204,-1.26,166.6,0.04549,153.598692361486,159.14180856421956,166.6,174.89775583202123,182.3860199007142,166.6,7.578634
216,-1.265,166.9,0.04555,153.86206813890539,159.41984291114824,166.9,175.22534203306864,182.74146264052476,166.9,7.602295000000001
228,-1.268,167.0,0.04565,153.92961922486063,159.50025729920014,167.0,175.35029785744132,182.89188999584977,167.0,7.623550000000001
