age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
0,0.3809,3.2322,0.14171,2.4402860275391034,2.778807183508511,3.2322,3.7287562784617276,4.166233845626168,3.2322,0.45803506200000005
1,0.3809,4.1873,0.13058,3.235566735927491,3.6440861460110674,4.1873,4.777993608152693,5.2953682622006575,4.1873,0.5467776339999999
2,0.3809,5.1282,0.12178,4.035372218474268,4.505969047622137,5.1282,5.8010065340281995,6.3875588941430435,5.1282,0.624512196
3,0.3809,5.8458,0.11609,4.654180161915083,5.168381342114179,5.8458,6.575609979879374,7.209931303838543,5.8458,0.678638922
4,0.3809,6.301033333333333,0.11314,5.047033425860978,5.588730265980468,6.301033333333333,7.066974181567625,7.731649817692731,6.301033333333333,0.7128989113333333
5,0.3809,6.756266666666667,0.11019,5.444403724203022,6.011699110307266,6.756266666666667,7.555387230208399,8.247760637981187,6.756266666666667,0.744473024
6,0.3809,7.2115,0.10724,5.846315932336182,6.437295587278468,7.2115,8.040857218780785,8.758290916292168,7.2115,0.77336126
7,0.3809,7.549366666666667,0.10546333333333334,6.142399969794402,6.751855182451085,7.549366666666667,8.40271776407295,9.140202212495675,7.549366666666667,0.7961813732222223
8,0.3809,7.887233333333333,0.10368666666666666,6.440521014931895,7.067591401808478,7.887233333333333,8.763264979987298,9.519626360279851,7.887233333333333,0.8178009335555555
9,0.3809,8.2251,0.10191,6.740685785260664,7.38450632496176,8.2251,9.122501041797397,9.896570648955633,8.2251,0.838219941
10,0.3809,8.494333333333334,0.10089333333333333,6.975698137640109,7.634599890110003,8.494333333333334,9.411568966088756,10.202313162409798,8.494333333333334,0.8570216044444445
11,0.3809,8.763566666666666,0.09987666666666667,7.211640259097648,7.885230261731168,8.763566666666666,9.700038300248641,10.506922467551567,8.763566666666666,0.8752758267777777
12,0.3809,9.0328,0.09886,7.448513903723665,8.13639798267496,9.0328,9.987909611670764,10.810400465176993,9.0328,0.8929826080000001
13,0.3809,9.256166666666667,0.09831333333333334,7.641152461544456,8.342514759911062,9.256166666666667,10.22931444470024,11.067091053420528,9.256166666666667,0.910004598888889
14,0.3809,9.479533333333332,0.09776666666666667,7.834204711015643,8.54887067111942,9.479533333333332,10.470451889889684,11.323274917653213,9.479533333333332,0.9267823755555555
15,0.3809,9.7029,0.09722,8.027671072714638,8.755465846484599,9.7029,10.711322083368568,11.578952513987046,9.7029,0.943315938
16,0.3809,9.896633333333334,0.09699333333333333,8.191708363202972,8.93246404272071,9.896633333333334,10.922718555447457,11.80543771522461,9.896633333333334,0.9599074557777778
17,0.3809,10.090366666666666,0.09676666666666667,8.35589365377976,9.109547997573813,10.090366666666666,11.134018615539794,12.031739838225674,10.090366666666666,0.9764111477777777
18,0.3809,10.2841,0.09654,8.520227007080784,9.286717730443282,10.2841,11.34522228395678,12.257858951076356,10.2841,0.9928270140000001
19,0.3809,10.451433333333334,0.09644166666666666,8.660580735465711,9.438822593222106,10.451433333333334,11.528689316285252,12.455152694108891,10.451433333333334,1.0079536497222223
20,0.3809,10.618766666666668,0.09634333333333334,8.800989771210695,9.590959544040627,10.618766666666668,11.712120173854672,12.65237767360755,10.618766666666668,1.0230473765555557
21,0.3809,10.786100000000001,0.096245,8.941454124491004,9.743128586051254,10.786100000000001,11.895514859967816,12.849533900646424,10.786100000000001,1.0381081945000001
22,0.3809,10.953433333333333,0.09614666666666666,9.081973805482537,9.895329722406496,10.953433333333333,12.078873377927344,13.046621386298991,10.953433333333333,1.0531361035555553
23,0.3809,11.120766666666666,0.09604833333333333,9.222548824361846,10.04756295625897,11.120766666666666,12.26219573103584,13.243640141638132,11.120766666666666,1.068131103722222
24,0.3809,11.2881,0.09595,9.363179191306116,10.199828290761396,11.2881,12.445481922595752,13.440590177736105,11.2881,1.083093195
25,0.3809,11.4341,0.09596166666666667,9.484058845192383,10.331622765337553,11.4341,12.606598342077449,13.61470995514441,11.4341,1.0972352928333333
26,0.3809,11.5801,0.09597333333333333,9.604932795506771,10.463413924959065,11.5801,12.767718513370557,13.788836874532807,11.5801,1.1113807973333332
27,0.3809,11.726099999999999,0.09598499999999999,9.725801042374133,10.595201769664632,11.726099999999999,12.928842436515655,13.962970936037424,11.726099999999999,1.1255297084999998
28,0.3809,11.8721,0.09599666666666666,9.846663585919325,10.726986299492953,11.8721,13.089970111553331,14.137112139794377,11.8721,1.1396820263333332
29,0.3809,12.0181,0.09600833333333333,9.9675204262672,10.858767514482723,12.0181,13.251101538524168,14.311260485939789,12.0181,1.1538377508333333
30,0.3809,12.1641,0.09602,10.088371563542605,10.990545414672637,12.1641,13.412236717468739,14.485415974609785,12.1641,1.167996882
31,0.3809,12.295366666666666,0.09608333333333333,10.195934046653067,11.108389952888162,12.295366666666666,13.557829830267613,14.643364583319913,12.295366666666666,1.1813798138888887
32,0.3809,12.426633333333333,0.09614666666666666,10.303468783638873,11.22621834001339,12.426633333333333,13.703441284522468,14.801348150171721,12.426633333333333,1.1947793728888887
